n,x0_index,method,h,iterations,grad_norm,converged,time_sec,conv_rate_est,conv_type,history
2,0,MN (Exact),,4,7.516638778723751e-06,True,0.00975145772099495,-14.864021337558775,Linear,"[2.23606797749979, 2.2755314574690715, 0.934331814294993, 0.04843291951283366, 7.516638778723751e-06]"
2,0,TN (Exact),,4,9.928962366970229e-13,True,0.0015818332321941853,3.381896329442855,Quadratic,"[2.23606797749979, 1.3389511753117345, 0.1837262498944029, 0.00029753849548786295, 9.928962366970229e-13]"
2,0,MN (FD),0.0001,4,7.5170699236913e-06,True,0.0012020417489111423,-14.864027273956715,Linear,"[2.23606797749979, 2.275531457249233, 0.9343318416181682, 0.04843293325245654, 7.5170699236913e-06]"
2,0,TN (FD),0.0001,4,1.484987757528621e-12,True,0.0006695417687296867,3.361014688493134,Quadratic,"[2.23606797749979, 1.3389511753117345, 0.18372625253348232, 0.0002975388114353046, 1.484987757528621e-12]"
2,0,MN (FD),1e-08,4,3.5849677977668617e-06,True,0.0009120418690145016,-14.786433944504921,Linear,"[2.23606797749979, 2.2755314574284817, 0.9340771127805642, 0.04830703998827194, 3.5849677977668617e-06]"
2,0,TN (FD),1e-08,4,2.032211862100107e-12,True,0.0005992078222334385,3.3447402938184982,Quadratic,"[2.23606797749979, 1.3389511753117345, 0.1837262574221444, 0.0002975376259864755, 2.032211862100107e-12]"
2,0,MN (FD),1e-12,17,6.612251306825634e-06,True,0.006591875106096268,1.0000070174793698,Linear,"[2.23606797749979, 2.2755386203689993, 1.1879779882950476, 0.4776966681071338, 0.21226458003574256, 0.09533498172193677, 0.04290341821398869, 0.01931506864765553, 0.008696211950797061, 0.003915342520097398, 0.0017628480564726434, 0.0007937191914769715, 0.0003573646346261006, 0.00016090275502500528, 7.244616334878273e-05, 3.261820543276617e-05, 1.4686040999745131e-05, 6.612251306825634e-06]"
2,0,TN (FD),1e-12,4,1.4911201898565507e-09,True,0.0006255423650145531,3.0019991460565802,Quadratic,"[2.23606797749979, 1.3389511753117345, 0.1837255321257705, 0.00030579922321845613, 1.4911201898565507e-09]"
2,1,MN (Exact),,3,1.2874057381542114e-09,True,0.001140042208135128,2.86283485053994,Quadratic,"[2.1124490132898557, 0.3569256011845741, 0.002684182325956778, 1.2874057381542114e-09]"
2,1,TN (Exact),,3,1.4017081031416176e-10,True,0.0009989580139517784,2.871295406118394,Quadratic,"[2.1124490132898557, 0.295840471269188, 0.0014505637130701264, 1.4017081031416176e-10]"
2,1,MN (FD),0.0001,3,1.2918782832690073e-09,True,0.0012239576317369938,2.862480297375197,Quadratic,"[2.1124490132898557, 0.3569256059645656, 0.0026841830267104274, 1.2918782832690073e-09]"
