n,x0_index,method,h,iterations,grad_norm,converged,time_sec,conv_rate_est,conv_type,history
2,0,MN (Exact),,5,1.3199335589847064e-07,True,0.00853000022470951,1.78003815453976,Superlinear,"[20.248456731316587, 5.2052514028723715, 1.0278750531818488, 0.09131394557062437, 0.0010172054896760631, 1.3199335589847064e-07]"
2,0,TN (Exact),,6,6.167637816255498e-11,True,0.0045677912421524525,1.8685659871561606,Quadratic,"[20.248456731316587, 6.433058978374595, 2.9499305214479876, 0.40555905217985794, 0.014591410754126493, 2.3165571463950206e-05, 6.167637816255498e-11]"
2,0,MN (FD),0.0001,5,1.32001449936811e-07,True,0.007545874919742346,1.7800336857860903,Superlinear,"[20.248456731316587, 5.205251422386845, 1.0278750703017694, 0.09131395337385614, 0.0010172063337586955, 1.32001449936811e-07]"
2,0,TN (FD),0.0001,6,6.183539658587773e-11,True,0.009096666239202023,1.8684330752153668,Quadratic,"[20.248456731316587, 6.433058991036707, 2.9499305206794597, 0.4055590602125141, 0.014591413481314208, 2.316567509310573e-05, 6.183539658587773e-11]"
2,0,MN (FD),1e-08,5,1.319940199330674e-07,True,0.005994416773319244,1.7800378118445623,Superlinear,"[20.248456731316587, 5.205251383443209, 1.0278750602866926, 0.09131394376933426, 0.001017205829819458, 1.319940199330674e-07]"
2,0,TN (FD),1e-08,6,6.165952099102212e-11,True,0.007807583082467318,1.8685800816177929,Quadratic,"[20.248456731316587, 6.433058958984375, 2.949930516714358, 0.4055590587668972, 0.014591410783475516, 2.316555154943063e-05, 6.165952099102212e-11]"
2,0,MN (FD),1e-12,5,1.0564772585774027e-07,True,0.0022897496819496155,1.7960155486205192,Superlinear,"[20.248456731316587, 5.206170038373308, 1.0278385429105223, 0.09127873197611976, 0.0010120132484283118, 1.0564772585774027e-07]"
2,0,TN (FD),1e-12,6,8.754666890819494e-10,True,0.005085458979010582,1.7308323138381194,Superlinear,"[20.248456731316587, 6.433631778346992, 2.949948061152525, 0.405429498353775, 0.01457963902925612, 2.2871762396231123e-05, 8.754666890819494e-10]"
2,1,MN (Exact),,6,2.2730661481922925e-06,True,0.008030625060200691,1.7203796265854245,Superlinear,"[97.84498202188854, 27.78677837239347, 7.378610762293587, 1.6064646498581967, 0.19000865023397426, 0.004227311765277533, 2.2730661481922925e-06]"
2,1,TN (Exact),,7,9.516535394942469e-10,True,0.0020247497595846653,1.8431882982341907,Quadratic,"[97.84498202188854, 30.330061793191508, 9.292834918377771, 3.647653663232402, 0.5724713700579547, 0.028513614194024605, 9.021377710479266e-05, 9.516535394942469e-10]"
2,1,MN (FD),0.0001,6,2.2731005239967322e-06,True,0.003075291868299246,1.7203783512216964,Superlinear,"[97.84498202188854, 27.786778405691607, 7.378610793651135, 1.6064646720864166, 0.19000866129995778, 0.004227313569934061, 2.2731005239967322e-06]"
2,1,TN (FD),0.0001,7,9.522903337521835e-10,True,0.004326582886278629,1.8431497163361108,Quadratic,"[97.84498202188854, 30.33006182158144, 9.292834939114519, 3.647653662834353, 0.5724713796067349, 0.02851361809226567, 9.021399178515133e-05, 9.522903337521835e-10]"
2,1,MN (FD),1e-08,6,2.2730607840561404e-06,True,0.004352665971964598,1.7203798156752186,Superlinear,"[97.84498202188854, 27.786778180358453, 7.378610622478999, 1.606464658635462, 0.1900086499504341, 0.004227310768175687, 2.2730607840561404e-06]"
2,1,TN (FD),1e-08,7,9.51650446582766e-10,True,0.004475875291973352,1.843188549293312,Quadratic,"[97.84498202188854, 30.330061620805928, 9.292834850531207, 3.647653679838604, 0.5724713947579629, 0.028513615156791957, 9.021385273866025e-05, 9.51650446582766e-10]"
2,1,MN (FD),1e-12,6,2.2215034236725163e-06,True,0.004792999941855669,1.7222099815065246,Superlinear,"[97.84498202188854, 27.789464198350263, 7.380475364281133, 1.6065612401832843, 0.1899617864341225, 0.004223031675110282, 2.2215034236725163e-06]"
2,1,TN (FD),1e-12,7,3.592198316760471e-09,True,0.008661792147904634,1.766192730677809,Superlinear,"[97.84498202188854, 30.33239407269145, 9.294190153092742, 3.6473907112369908, 0.5723787192469141, 0.028491403678545753, 9.018151208650651e-05, 3.592198316760471e-09]"
2,2,MN (Exact),,6,1.0054520934530692e-06,True,0.010494249872863293,1.7249422779212467,Superlinear,"[122.50316168603784, 33.281879410695254, 8.41249040278883, 1.6938155637173633, 0.17433950811987584, 0.0029999379103975124, 1.0054520934530692e-06]"
2,2,TN (Exact),,7,1.648792776939135e-08,True,0.0023882086388766766,1.8076238500127098,Quadratic,"[122.50316168603784, 32.966009614158544, 12.36825962092851, 4.69538532524123, 0.8354018804322726, 0.05763107745449934, 0.0003725705422048269, 1.648792776939135e-08]"
2,2,MN (FD),0.0001,6,1.0054730046615188e-06,True,0.0049133338034152985,1.7249406187826597,Superlinear,"[122.50316168603784, 33.281879436413334, 8.41249042741766, 1.6938155819473926, 0.17433951729621702, 0.0029999392576556512, 1.0054730046615188e-06]"
2,2,TN (FD),0.0001,7,1.6490625639623816e-08,True,0.005120874848216772,1.8076131285920969,Quadratic,"[122.50316168603784, 32.96600964012172, 12.368259636342977, 4.69538532358655, 0.8354018909149666, 0.05763108288995984, 0.00037257100167729777, 1.6490625639623816e-08]"
2,2,MN (FD),1e-08,6,1.0054476882493427e-06,True,0.0027319169603288174,1.724942653885126,Superlinear,"[122.50316168603784, 33.28187902294449, 8.412490216364073, 1.6938155275633395, 0.1743395022363203, 0.0029999384168531863, 1.0054476882493427e-06]"
2,2,TN (FD),1e-08,7,1.6487273312212432e-08,True,0.008314375299960375,1.8076265274779466,Quadratic,"[122.50316168603784, 32.966009308815366, 12.368259475218697, 4.69538538442553, 0.8354019135156597, 0.057631081821750384, 0.0003725707662120486, 1.6487273312212432e-08]"
2,2,MN (FD),1e-12,6,1.0458200594149015e-06,True,0.005749292206019163,1.7215756373865547,Superlinear,"[122.50316168603784, 33.286389134332225, 8.415844642747652, 1.6942723710493812, 0.17438707449964153, 0.0029969777691256534, 1.0458200594149015e-06]"
2,2,TN (FD),1e-12,7,1.864045717336933e-08,True,0.0061889998614788055,1.7987530688975173,Superlinear,"[122.50316168603784, 32.96969790436844, 12.369595338683785, 4.695424669195776, 0.8351174351794038, 0.0576111311451451, 0.0003691502017960902, 1.864045717336933e-08]"
2,3,MN (Exact),,7,1.543501738320298e-08,True,0.003217875026166439,1.8168846078923717,Quadratic,"[75.04274295766365, 58.57015028303267, 16.30563763822384, 4.090587678547175, 0.7476491667972003, 0.05297647557018525, 0.0003481579867831749, 1.543501738320298e-08]"
2,3,TN (Exact),,6,2.262593255453278e-10,True,0.0016739577986299992,1.8602400683775488,Quadratic,"[75.04274295766365, 18.923664434709348, 3.1388295677233695, 0.46493828194031234, 0.019728110497941605, 4.3818226424486887e-05, 2.262593255453278e-10]"
