n,x0_index,method,h,iterations,grad_norm,converged,time_sec,history
2,0,MN (Exact),,4,7.516638778723751e-06,True,0.009078667033463717,"[2.23606797749979, 2.2755314574690715, 0.934331814294993, 0.04843291951283366, 7.516638778723751e-06]"
2,0,TN (Exact),,4,9.928962366970229e-13,True,0.0020597497932612896,"[2.23606797749979, 1.3389511753117345, 0.1837262498944029, 0.00029753849548786295, 9.928962366970229e-13]"
2,0,MN (FD),0.0001,4,7.5170699236913e-06,True,0.0017867907881736755,"[2.23606797749979, 2.275531457249233, 0.9343318416181682, 0.04843293325245654, 7.5170699236913e-06]"
2,0,TN (FD),0.0001,4,1.484987757528621e-12,True,0.0013672919012606144,"[2.23606797749979, 1.3389511753117345, 0.18372625253348232, 0.0002975388114353046, 1.484987757528621e-12]"
2,0,MN (FD),1e-08,4,3.5849677977668617e-06,True,0.0018019173294305801,"[2.23606797749979, 2.2755314574284817, 0.9340771127805642, 0.04830703998827194, 3.5849677977668617e-06]"
2,0,TN (FD),1e-08,4,2.032211862100107e-12,True,0.0015975418500602245,"[2.23606797749979, 1.3389511753117345, 0.1837262574221444, 0.0002975376259864755, 2.032211862100107e-12]"
2,0,MN (FD),1e-12,17,6.612251306825634e-06,True,0.0058713750913739204,"[2.23606797749979, 2.2755386203689993, 1.1879779882950476, 0.4776966681071338, 0.21226458003574256, 0.09533498172193677, 0.04290341821398869, 0.01931506864765553, 0.008696211950797061, 0.003915342520097398, 0.0017628480564726434, 0.0007937191914769715, 0.0003573646346261006, 0.00016090275502500528, 7.244616334878273e-05, 3.261820543276617e-05, 1.4686040999745131e-05, 6.612251306825634e-06]"
2,0,TN (FD),1e-12,4,1.4911201898565507e-09,True,0.0006913337856531143,"[2.23606797749979, 1.3389511753117345, 0.1837255321257705, 0.00030579922321845613, 1.4911201898565507e-09]"
2,1,MN (Exact),,6,7.976971159284751e-06,True,0.0012407503090798855,"[2.9958103868897044, 2.7727795824604935, 2.418850504495715, 1.7825299363942597, 0.861926781305569, 0.04926968873580673, 7.976971159284751e-06]"
2,1,TN (Exact),,6,2.1119056802825585e-14,True,0.0009568748064339161,"[2.9958103868897044, 2.7465829842614067, 2.6072783420902312, 1.4874369282928674, 0.13690069053080675, 8.567001077895432e-05, 2.1119056802825585e-14]"
2,1,MN (FD),0.0001,6,7.976968108613924e-06,True,0.002048167400062084,"[2.9958103868897044, 2.772779582189511, 2.4188505056087024, 1.7825299983157332, 0.8619269440994944, 0.04926971918396694, 7.976968108613924e-06]"
2,1,TN (FD),0.0001,6,1.637607187087953e-13,True,0.0018503754399716854,"[2.9958103868897044, 2.7465829901605567, 2.6072783772782855, 1.48743705216016, 0.13690073317809437, 8.567031930997292e-05, 1.637607187087953e-13]"
2,1,MN (FD),1e-08,6,8.0627400846911e-06,True,0.003222291823476553,"[2.9958103868897044, 2.7727795846605896, 2.4188588084758806, 1.7806993738958026, 0.8571207530752961, 0.04837712632284097, 8.0627400846911e-06]"
2,1,TN (FD),1e-08,6,2.894466405735817e-13,True,0.002308832947164774,"[2.9958103868897044, 2.746582912308006, 2.607277975498184, 1.4874357471821587, 0.13690031526943766, 8.566941290281895e-05, 2.894466405735817e-13]"
2,1,MN (FD),1e-12,7,6.367498732617882e-06,True,0.004308207891881466,"[2.9958103868897044, 2.772815801887247, 0.7657512924261461, 0.06578891123241348, 0.00645943651107951, 0.0006429230706233025, 6.397325166851431e-05, 6.367498732617882e-06]"
2,1,TN (FD),1e-12,6,1.7404897259381032e-09,True,0.0023238747380673885,"[2.9958103868897044, 2.7451609859419754, 2.599745205867836, 1.4623834951293029, 0.12895959410114555, 6.489611416625345e-05, 1.7404897259381032e-09]"
2,2,MN (Exact),,4,6.263758124402759e-12,True,0.001729500014334917,"[2.6172517291333066, 1.3276449796916232, 0.18903339444110853, 0.00045284224570406464, 6.263758124402759e-12]"
2,2,TN (Exact),,6,5.253469703295272e-10,True,0.0010770843364298344,"[2.6172517291333066, 2.879675010667103, 2.709338912046955, 2.0050493129933322, 0.41987661773968066, 0.0025071999960442123, 5.253469703295272e-10]"
2,2,MN (FD),0.0001,4,7.0106525420311315e-12,True,0.0012525832280516624,"[2.6172517291333066, 1.3276449792101965, 0.189033396695423, 0.0004528425780718363, 7.0106525420311315e-12]"
2,2,TN (FD),0.0001,6,5.295094424517303e-10,True,0.001115208026021719,"[2.6172517291333066, 2.8796749897025204, 2.7093384178121536, 2.0050470951564194, 0.4198747108210869, 0.002507166175926387, 5.295094424517303e-10]"
2,2,MN (FD),1e-08,4,5.320408350675794e-12,True,0.000874791294336319,"[2.6172517291333066, 1.3276449799849985, 0.18903350222905724, 0.0004528424430963402, 5.320408350675794e-12]"
2,2,TN (FD),1e-08,6,3.1884252231956593e-10,True,0.001987708266824484,"[2.6172517291333066, 2.879674215645667, 2.7093196806139064, 2.004962485656039, 0.4198015860616066, 0.002505806707850653, 3.1884252231956593e-10]"
2,2,MN (FD),1e-12,6,4.467422289655687e-06,True,0.0018351669423282146,"[2.6172517291333066, 1.3276588210810574, 0.19431366842240208, 0.0045577983028805965, 0.0004512092601291956, 4.4897013542155584e-05, 4.467422289655687e-06]"
